market,channel,price,valid_from,valid_until,product_id
US,myshop.com,88.0,2023-06-19 00:00:00,2023-07-19 00:00:00,670399
US,amazon.com,50.0,2023-06-19 00:00:00,2023-07-19 00:00:00,667962
DE,myshop.de,50.0,2023-06-19 00:00:00,2023-07-19 00:00:00,668400
US,amazon.com,50.0,2023-06-19 00:00:00,2023-07-19 00:00:00,669088
DE,myshop.de,50.0,2023-06-19 00:00:00,2023-07-19 00:00:00,667883
US,amazon.com,50.0,2023-06-19 00:00:00,2023-07-19 00:00:00,668270
DE,myshop.de,50.0,2023-06-19 00:00:00,2023-07-19 00:00:00,670068
DE,myshop.de,50.0,2023-06-19 00:00:00,2023-07-19 00:00:00,668270
DE,myshop.de,50.0,2023-06-19 00:00:00,2023-07-19 00:00:00,668353
DE,myshop.de,50.0,2023-06-19 00:00:00,2023-07-19 00:00:00,668025
DE,myshop.de,50.0,2023-06-19 00:00:00,2023-07-19 00:00:00,669455
DE,myshop.de,50.0,2023-06-19 00:00:00,2023-07-19 00:00:00,668070
DE,myshop.de,50.0,2023-06-19 00:00:00,2023-07-19 00:00:00,669759
DE,myshop.de,50.0,2023-06-19 00:00:00,2023-07-19 00:00:00,668385
DE,myshop.de,50.0,2023-06-19 00:00:00,2023-07-19 00:00:00,669088
DE,myshop.de,50.0,2023-06-19 00:00:00,2023-07-19 00:00:00,667840
DE,myshop.de,50.0,2023-06-19 00:00:00,2023-07-19 00:00:00,668478
DE,myshop.de,50.0,2023-06-19 00:00:00,2023-07-19 00:00:00,670397
DE,myshop.de,50.0,2023-06-19 00:00:00,2023-07-19 00:00:00,669136
DE,myshop.de,50.0,2023-06-19 00:00:00,2023-07-19 00:00:00,670328
DE,myshop.de,50.0,2023-06-19 00:00:00,2023-07-19 00:00:00,669229
DE,myshop.de,50.0,2023-06-19 00:00:00,2023-07-19 00:00:00,669235
DE,myshop.de,50.0,2023-06-19 00:00:00,2023-07-19 00:00:00,668728
DE,myshop.de,50.0,2023-06-19 00:00:00,2023-07-19 00:00:00,670160
DE,myshop.de,50.0,2023-06-19 00:00:00,2023-07-19 00:00:00,667809
DE,myshop.de,50.0,2023-06-19 00:00:00,2023-07-19 00:00:00,669690
DE,myshop.de,50.0,2023-06-19 00:00:00,2023-07-19 00:00:00,668644
DE,myshop.de,50.0,2023-06-19 00:00:00,2023-07-19 00:00:00,669114
DE,myshop.de,50.0,2023-06-19 00:00:00,2023-07-19 00:00:00,668960
DE,myshop.de,50.0,2023-06-19 00:00:00,2023-07-19 00:00:00,668283
DE,myshop.de,50.0,2023-06-19 00:00:00,2023-07-19 00:00:00,668674
DE,myshop.de,50.0,2023-06-19 00:00:00,2023-07-19 00:00:00,667962
DE,myshop.de,50.0,2023-06-19 00:00:00,2023-07-19 00:00:00,668664
US,myshop.com,50.0,2023-06-19 00:00:00,2023-07-19 00:00:00,669455
US,myshop.com,50.0,2023-06-19 00:00:00,2023-07-19 00:00:00,670328
US,myshop.com,50.0,2023-06-19 00:00:00,2023-07-19 00:00:00,668353
US,myshop.com,50.0,2023-06-19 00:00:00,2023-07-19 00:00:00,668070
US,myshop.com,50.0,2023-06-19 00:00:00,2023-07-19 00:00:00,667883
US,myshop.com,50.0,2023-06-19 00:00:00,2023-07-19 00:00:00,669690
